"","samplename","platform","label","obervations","batch","bigfamily","family","celltype","coarsegrain","finegrain","treatment","In","In_opt","In_opt2","FINAL"
"SRR10983487","SRR10983487","Illumina HiSeq 2500","CD1c+ CD206+ cells","Co-cultured with MS5_FS12","SRP245802","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164692","SRR11164692","Illumina HiSeq 2500","CD1c+ cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164693","SRR11164693","Illumina HiSeq 2500","CD1c+ cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164694","SRR11164694","Illumina HiSeq 2500","CD1c+ cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164695","SRR11164695","Illumina HiSeq 2500","CD45RA+CD123+Siglec6-Axl- cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164696","SRR11164696","Illumina HiSeq 2500","CD45RA+CD123+Siglec6-Axl- cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164697","SRR11164697","Illumina HiSeq 2500","CD45RA+CD123+Siglec6-Axl- cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164698","SRR11164698","Illumina HiSeq 2500","CD45RA+CD123+Siglec6+Axl+ cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164699","SRR11164699","Illumina HiSeq 2500","CD45RA+CD123+Siglec6+Axl+ cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164700","SRR11164700","Illumina HiSeq 2500","CD45RA+CD123+Siglec6+Axl+ cells","Co-cultured with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164701","SRR11164701","Illumina HiSeq 2500","CD1c+ cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164702","SRR11164702","Illumina HiSeq 2500","CD1c+ cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164703","SRR11164703","Illumina HiSeq 2500","CD1c+ cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164704","SRR11164704","Illumina HiSeq 2500","CD45RA+CD123+Siglec6-Axl- cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164705","SRR11164705","Illumina HiSeq 2500","CD45RA+CD123+Siglec6-Axl- cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164706","SRR11164706","Illumina HiSeq 2500","CD45RA+CD123+Siglec6+Axl+ cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR11164707","SRR11164707","Illumina HiSeq 2500","CD45RA+CD123+Siglec6+Axl+ cells","Co-cultured in matrigel with MS5_FS12","SRP250478","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR5569312","SRR5569312","NextSeq 500","CD141+ dendritic cell","healthy","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR5569313","SRR5569313","NextSeq 500","CD141+ dendritic cell","healthy","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR5569314","SRR5569314","NextSeq 500","CD141+ dendritic cell","healthy","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR5569315","SRR5569315","NextSeq 500","CD141+ dendritic cell","healthy","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR5569316","SRR5569316","NextSeq 500","CD141+ dendritic cell","healthy","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR5569317","SRR5569317","NextSeq 500","CD141+ dendritic cell","inflammatory arthritis","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR5569318","SRR5569318","NextSeq 500","CD141+ dendritic cell","inflammatory arthritis","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR5569319","SRR5569319","NextSeq 500","CD141+ dendritic cell","inflammatory arthritis","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR5569320","SRR5569320","NextSeq 500","CD141+ dendritic cell","inflammatory arthritis","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR5569321","SRR5569321","NextSeq 500","CD141+ dendritic cell","inflammatory arthritis","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR5569322","SRR5569322","NextSeq 500","CD141+ dendritic cell","inflammatory arthritis","SRP107192","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514132","SRR1514132","Illumina Genome Analyzer II","Mo-DC nascent RNA rep 1.1","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514133","SRR1514133","Illumina Genome Analyzer II","Mo-DC nascent RNA rep 1.2","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514134","SRR1514134","Illumina Genome Analyzer II","Mo-DC 1h LPS nascent RNA rep 1.1","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514135","SRR1514135","Illumina Genome Analyzer II","Mo-DC 1h LPS nascent RNA rep 1.2","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514136","SRR1514136","Illumina Genome Analyzer II","Mo-DC nascent RNA rep 2","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514137","SRR1514137","Illumina Genome Analyzer II","Mo-DC 1h LPS nascent RNA rep 2","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514138","SRR1514138","Illumina HiSeq 2000","Mo-DC nascent RNA rep 3","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514139","SRR1514139","Illumina HiSeq 2000","Mo-DC 1h LPS nascent RNA rep 3","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514140","SRR1514140","Illumina Genome Analyzer II","Mo-DC mRNA rep 1","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514141","SRR1514141","Illumina Genome Analyzer II","Mo-DC 1h LPS mRNA rep 1","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514142","SRR1514142","Illumina HiSeq 2000","Mo-DC mRNA rep 2","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514143","SRR1514143","Illumina HiSeq 2000","Mo-DC 1h LPS mRNA rep 2","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
"SRR1514144","SRR1514144","Illumina HiSeq 2000","Mo-DC mRNA rep 3","no_treament","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","no",NA,NA,NA,NA
"SRR1514145","SRR1514145","Illumina HiSeq 2000","Mo-DC 1h LPS mRNA rep 3","treated","SRP044286","Immune","MYELOID","myeloid.dendritic.cells","monocytic.lineage","myeloid.dendritic.cells","yes",NA,NA,NA,NA
